,Habituality,Sentence
0,-1,"Let's see- And, uh, if you didn't know already, my name is Quanette and I will be, the interviewer of the day.
"
1,-1,"It might be twenty- twenty-eighteen, before we have another one.
"
2,-1,"It wasn't as big as I thought it would be.
"
3,-1,"It used to be so hot.
"
4,-1,"And I had- My major was gonna be nursing.
"
5,-1,"I knew it was gonna be math.
"
6,-1,"The two-thousands finna be considered old.
"
7,-1,"Ninety-six babies, is finna be twenty-one.
"
8,-1,"Gianfranco is about to be twenty-one in a little while.
"
9,1,"Some of that stuff, you be like what?
"
10,1,"Elysa be showing me some work.
"
11,-1,"Hey, but would you be able to do that without like that- that paper right in front of you.
"
12,1,"So I just be like Oh, shit .
"
13,1,"I just be liking the beat to a hip hop song.
"
14,1,"I be listening to the beats.
"
15,1,"Right, like And then I be seeing these videos.
"
16,1,"These mama's be letting they little boys dance and stuff.
"
17,-1,"It going to be an interesting time to wonder.
"
18,-1,"Boy that'd be fire, if they all playing it together.
"
19,1,"Obamacare be like, okay.
"
20,1,"I be trying to either get too deep into politics and stuff.
"
21,1,"I be listening to it- Mm-hm.
"
22,1,"but I don't really be - I don't never really have a response.
"
23,-1,"That would be kind of turnt though.
"
24,-1,"What- where Harriet Tubman sposta be?
"
25,-1,"We get twenty-five, I'm'a be cool.
"
26,1,"I don't be working out.
"
27,1,"I be still trying to workout-  I wanna workout, but I wanna gain some weight, then workout.
"
28,1,"I mean I told that man Dalisa, if it be a little boy,  Yeah.
"
29,-1,"Man and it came around to be a little boy.
"
30,-1,"Me and Carolyne gonna be like you and Miss Carolyne, that's it.
"
31,-1,"That shit gonna be crazy.
"
32,1,"I don't really be playing video games.
"
33,1,"I just be playing games on my phone.
"
34,1,"And then I be playing the, um, Game Pigeon, games.
"
35,-1,"Um, my name is Skipper, and today I will be interviewing Clarise.
"
36,-1,"Once we get over that fact, then we'll be able to conquer this whole thing and get past it.
"
37,-1,"But until then, as long as we're tryna become equal to them, we will always be in a struggle with them.
"
38,1,"Now once you got close up on him, you probably be like, oh okay, he got curly hair.
"
39,1,"Cause I was that kid that- you know how you had that kid growing up in school that your parents be like, stay away from them.
"
40,-1,"And after being surrounded by so many messed up bad people your whole life, you kind of have that urge to just be surrounded by people who just are on the same shit you on, who just want the same things out of life you want.
"
41,-1,"So when we stopped the truck, I thought we were at a truck stop somewhere Oh no, this can't be good.
"
42,-1,"It's directly in front of your face, cannot be avoided.
"
43,1,"I- I know I hear that a lot from most northern people who be freaking out.
"
44,-1,"Well maybe that- yeah, that might be Jersey.
"
45,1,"that's a na-  when somebody says something to someone, like I be - I hang out with a lot of males, Okay.
"
46,1,"And they be like, nah, what he said was, he was about to go over here and pick up this person, then he was gonna come back over here,  Mm, yeah.
"
47,-1,"I used to be like, oh okay, cool, cool, cool, cool.
"
48,-1,"Like and this is when he was sober, I used to be like, what did he just say?
"
49,-1,"People think they can't do things just because they don't- if you- p- if you train your body to get used to something you'll be able to build up a tolerance for it, just like people say, oh I don't drink, but you see everybody else is drinking.
"
50,-1,"And for them to say, oh, be careful of the sun.
"
51,-1,"I- I wanna say that they said it's supposed to be another one coming in a few years.
"
52,-1,"We'll be inside.
"
53,1,"This probably be the last follow-up question before I have you read maybe one or two passages.
"
54,1,"Now when females say, y'all be like,  We get upset when females say it  is that a boy?
"
55,-1,"There's a no say-   Nah, but that- that- that bruh definitely can, um, be perfect for a lot of scenarios definitely.
"
56,-1,"Um, my mom used to be a school teacher, and then when she came to the States, she, um, became a RN.
"
57,-1,"You go to American- an American all white party might be different type of music.
"
58,-1,"Um, I didn't like it at first because I didn't know anybody and I didn't wanna be here.
"
59,-1,"I mean I could walk, but I'd be dead by the time I get there .
"
60,-1,"might be too tall for it, but we'll try.
"
61,-1,"And it would just be like- you know, old times.
"
62,-1,"It would be fun.
"
63,1,"So it be easy for you to maneuver in it, but if you're playing like a regular you know like, regular costume, you're not gonna really know, like- You- you might see a guy, but you're not gonna notice what he has on because it's only almost- The guys are just shirtless with shorts and like Mm-hm.
"
64,-1,"I can't speak on something I don't know because we weren't there when you know, he approached these females, or whatever the case may be.
"
65,1,"A lot of stuff be on record too, so.
"
66,-1,"Like True Blood, that used to be my show.
"
67,-1,"I mean the money's gonna be good too, but, um, I've been working where old- with older people Mm-hm.
"
68,-1,"Like- I mean they at- at some point in life, that's gonna be me, you know.
"
69,-1,"Let's see, do you, um, Don't be stupid.
"
70,-1,"Um, Be a plug.
"
71,1,"I be like, you dragging like, you doing too much, basically.
"
72,-1,"Um, what else,  be.
"
73,-1,"Yeah, it's about to be a movie.
"
74,1,"Like my best friend, I be hearing her say it, but she won't say it like bruh.
"
75,1,"But she be like bruh, or bro.
"
76,1,"Um, sometimes they be rude like, the other day, I was at the store, Mm-hm.
"
77,1,"Let's see, Or they be like what you finna do?
"
78,-1,"Oh, you don't- you don't even like to be called ma'am?
"
79,1,"Don't be talking about that.
"
